
rmaj = 5
rmaj = 24
           1 (-4.31079604781667708E-002,-5.24496659395717445E-003)
           2 (-1.77564410905280759E-002,-1.82843750506960605E-002)
           3             (0.15753254553499546,0.12877460897664517)
           4 (-3.38163096474407496E-002,-8.33441789974315173E-002)
           5       (-5.62614041237697246E-002,0.14901774139108781)
           6  (-8.80281957773645755E-003,5.76491260936174699E-002)
           7       (4.96444362518247487E-002,-0.16141125539604598)
           8 (-1.19738797939068862E-002,-4.39073185992066087E-003)
           9      (-2.37413122318548137E-002,-0.18798583841321237)
          10 (-5.99066554068115441E-003,-3.03708416714672073E-002)
          11             (-21.881516942215956,-17.891452256406406)
