           1        (0.10721003793753553,1.05815112004131757E-002)
           2  (-4.11622910071852768E-002,3.65132335568580518E-002)
           3  (3.69745051019269230E-002,-2.36041839116256993E-002)
           4  (2.17910379704040627E-003,-8.07468165321704873E-002)
           5  (2.03237001139443506E-002,-8.65573117062692632E-002)
           6  (8.84357807363554335E-003,-3.98935190631907258E-002)
           7  (-2.31516374358076323E-002,4.63812275696890708E-002)
           8  (8.81846851650054664E-002,-5.64465243651492143E-002)
           9  (-3.08170507262448996E-002,1.83302285481602364E-002)
          10  (-1.29383062130867513E-004,1.60200550567892695E-002)
          11              (-5.1354187870219263,3.2782710993063437)
